,LR,RF,SVC
bipolar,0.9572,0.9190,0.9536
ptsd,0.9233,0.9312,0.9466
suicide,0.9028,0.9053,0.9043
psychosis,0.8777,0.8793,0.8822
Micro-Average,0.6163,0.6057,0.6142
adhd,0.5192,0.5881,0.5672
autism,0.4849,0.4550,0.5194
bpd,0.4677,0.5604,0.4788
anxiety,0.4994,0.5272,0.4677
ocd,0.4652,0.4768,0.4639
depression,0.4029,0.4654,0.4425
addiction,0.4086,0.3925,0.3950
